ruas,kepemilikan,stroke,WKT
Jalan Cicendo,Provinsi,#0000ff,"LINESTRING (107.604437470436 -6.90719158873495,107.604485750198 -6.90883183510151,107.604212164879 -6.90981171982654,107.603960037231 -6.91267680590384)"
Jalan Kebon Kawung,Provinsi,#0000ff,"LINESTRING (107.598048448563 -6.91238390756651,107.600231766701 -6.91246911437427,107.603954672813 -6.91268213132647)"
Jalan Pasir Koja,Provinsi,#0000ff,"LINESTRING (107.57597386837 -6.93039681731996,107.57850587368 -6.92941431270225,107.581043243408 -6.92843979390426,107.583594024181 -6.92745728520826,107.584849298 -6.9269753493001,107.585466206074 -6.92672506194908,107.586083114147 -6.92650140079962,107.58618503809 -6.92648542499916,107.58800894022 -6.92588633209168,107.588644623756 -6.92579313979325,107.589256167412 -6.92576118814382,107.594564259052 -6.92634164277076,107.597235739231 -6.92663186981635,107.598563432693 -6.92677831458808,107.599899172783 -6.92690612089715)"
Jalan Peta,Provinsi,#0000ff,"LINESTRING (107.58555740118 -6.92669577299506,107.585589587688 -6.92680760353696,107.586085796356 -6.92742267104343,107.586641013622 -6.92811761648156,107.587080895901 -6.92866345413435,107.58768171072 -6.9295634192259,107.588550746441 -6.93084946103475,107.589787244797 -6.93245501141148,107.590798437595 -6.93370110644101,107.591310739517 -6.93433214048738,107.591517269611 -6.93458242379909,107.591844499111 -6.93485933284008,107.592032253742 -6.93502175056722,107.593394815922 -6.93592436609606,107.594148516655 -6.9364196057398,107.594996094704 -6.93697608407298,107.596374750137 -6.93753256174858,107.59713113308 -6.93770562883419,107.5980296731 -6.93770296626413,107.60096937418 -6.93718376481351,107.601234912872 -6.93715713908266,107.601478993893 -6.93714382621667,107.60178476572 -6.93714915136312,107.602055668831 -6.93715181393632,107.602981030941 -6.9372290285525,107.606210410595 -6.93753256174858)"
Jalan BKR,Provinsi,#0000ff,"LINESTRING (107.606213092804 -6.93753256174858,107.60842859745 -6.93759113830775,107.609077692032 -6.93762575172566,107.610107660294 -6.93767101542216,107.612722814083 -6.93773757967381,107.614085376263 -6.93783343217967,107.616209685802 -6.93791330925297,107.61738717556 -6.93796389805905,107.618406414986 -6.93803312483752,107.619586586952 -6.93808637619864,107.619959414005 -6.9380384499739,107.620332241058 -6.93796922319622,107.620782852173 -6.93785739530308,107.621364891529 -6.93763640200757,107.622075676918 -6.93730890572833,107.622225880623 -6.93724234141608,107.622692584991 -6.93691218228823)"
Jalan Pelajar Pejuang 45,Provinsi,#0000ff,"LINESTRING (107.622689902782 -6.93690951971368,107.622952759266 -6.93673645233548,107.623430192471 -6.93627848912017,107.623870074749 -6.93582851320163,107.624782025814 -6.93492323490334,107.625055611134 -6.93461171226304,107.625227272511 -6.93428953905938,107.625428438187 -6.93349342416493,107.625629603863 -6.93267334453937,107.625868320465 -6.93165889341746,107.626133859158 -6.93064710272186,107.626654207706 -6.9286022138438,107.62770563364 -6.92451240948379)"
Jalan Laswi,Provinsi,#0000ff,"LINESTRING (107.62770563364 -6.92450708419457,107.627904117107 -6.92377219370698,107.628239393234 -6.92333818175821,107.629333734512 -6.92265654255433,107.630192041397 -6.92226246944042,107.630792856216 -6.92096309089579,107.631340026855 -6.91864656699504,107.62999355793 -6.91581879482984)"
Jalan Ahmad Yani,Provinsi,#0000ff,"LINESTRING (107.617869973183 -6.92225714412581,107.619071602821 -6.92155952739323,107.621871829033 -6.92006843473658,107.624591588974 -6.91866254306087,107.625219225883 -6.91825249053358,107.628416419029 -6.91661760224207,107.630717754364 -6.91539276365764,107.63320684433 -6.91406673917528,107.636978030205 -6.91205905647098,107.640169858932 -6.91034426502098,107.643753290176 -6.9084324249843,107.647427916527 -6.90648329877262,107.651059627533 -6.9045554665863,107.653264403343 -6.90338385202779,107.655678391457 -6.90211104928835)"
Jalan Supratman,Provinsi,#0000ff,"LINESTRING (107.634333372116 -6.91347561862845,107.630303353071 -6.90735002187084,107.628295719624 -6.90427587701201,107.627209424973 -6.90256105734262,107.626868784428 -6.90198323627184,107.626394033432 -6.90133884512132,107.626249194145 -6.90121369467216)"
Jalan Dipenogoro,Provinsi,#0000ff,"LINESTRING (107.612682580948 -6.90025243160871,107.613471150398 -6.9004974074224,107.615064382553 -6.90063054639841,107.61594414711 -6.90134949622184,107.617920935154 -6.9012962407168,107.619122564793 -6.90122967132708,107.619205713272 -6.90125896185971,107.619672417641 -6.90123765965435,107.62092769146 -6.90123233410286,107.623084187508 -6.90116842748028,107.624508440495 -6.90112582306044,107.625425755978 -6.90110718362556,107.625951468945 -6.90111783473129,107.626023888588 -6.90113381138945,107.626104354858 -6.90115511359949,107.626241147518 -6.9012083691204)"
Jalan Aria Jipang,Provinsi,#0000ff,"LINESTRING (107.615134119987 -6.90057729081249,107.616249918938 -6.89938968969042,107.616630792618 -6.89922459692192)"
Jalan Gasibu Barat,Provinsi,#0000ff,"LINESTRING (107.618089914322 -6.89946424769604,107.618092596531 -6.90128292683961)"
Jalan Sentot Alibasyah,Provinsi,#0000ff,"LINESTRING (107.619270086288 -6.89941631755091,107.619323730469 -6.90115245082329)"
Jalan Kopo,Provinsi,#0000ff,"LINESTRING (107.579691410065 -6.96046472705677,107.588800191879 -6.94692868114893,107.593220472336 -6.94003803442823,107.594996094704 -6.93697075892459,107.595516443253 -6.93625718849467,107.598244249821 -6.92674902563738)"
Jalan Moh. Toha,Provinsi,#0000ff,"LINESTRING (107.606210410595 -6.93753522431961,107.606172859669 -6.93795857292183,107.606172859669 -6.938408546805,107.606213092804 -6.9387174043694,107.606331110001 -6.93906886273072,107.606607377529 -6.93992088191148,107.606789767742 -6.94061314636029,107.606948018074 -6.94111903127516,107.607959210873 -6.94407977839763,107.610083520412 -6.9503553291624,107.612189054489 -6.95664677091331,107.613621354103 -6.96088539257075)"
Jalan Setiabudhi,Provinsi,#0000ff,"LINESTRING (107.597860693932 -6.84321223040697,107.598182559013 -6.84338533192495,107.598649263382 -6.84353712858906,107.600027918816 -6.84391795158658,107.600186169147 -6.84403246473621,107.600242495537 -6.84414964095392,107.600245177746 -6.84426948023773,107.600143253803 -6.84450116943445,107.599952816963 -6.8446929121329,107.59947270155 -6.84509237584063,107.599411010742 -6.84518824708073,107.599408328533 -6.84528411830159,107.599427103996 -6.84535868479338,107.599542438984 -6.84545721906823,107.599706053734 -6.84555841641043,107.599901854992 -6.84563298285937,107.599955499172 -6.84571820164389,107.599979639053 -6.8458034204132,107.599952816963 -6.84589929151047,107.599419057369 -6.84646652844195,107.599319815636 -6.84664761802458,107.599148154259 -6.84722018022336,107.599073052406 -6.84737197566782,107.598694860935 -6.84765692488052,107.598523199558 -6.84782203556141,107.59846419096 -6.8479152431786,107.598434686661 -6.84799247233335,107.598418593407 -6.84808567991727,107.59849101305 -6.84865291424956,107.598582208157 -6.84893253655953,107.598552703857 -6.84909764679895,107.598472237587 -6.84918819109952,107.598322033882 -6.84925210471311,107.598195970058 -6.8492627569812,107.598040401936 -6.84923346324336,107.597603201866 -6.84900443941276,107.597501277924 -6.84892721042183,107.597404718399 -6.84891655814625,107.597310841084 -6.84894318883477,107.597233057022 -6.84900177634432,107.596997022629 -6.85009363315995,107.596710026264 -6.85133994471406,107.596133351326 -6.85382190588378,107.595850378275 -6.85505089796705,107.595672011375 -6.85587776951382,107.595567405224 -6.85627988688119,107.594937086105 -6.85872720314342,107.594658136368 -6.86058332036841,107.594722509384 -6.86082299064486,107.59478956461 -6.8610493457952,107.594827115536 -6.86112390982116,107.594907581806 -6.86120912583654,107.595575451851 -6.86174172558711,107.596192359924 -6.86221041287478,107.596229910851 -6.8622743247419,107.596136033535 -6.8625486130742,107.596023380756 -6.862817575266,107.595870494843 -6.86304126647809,107.595666646957 -6.86318506791607,107.595138251781 -6.86335816218195,107.594604492188 -6.86348332261192,107.594518661499 -6.86354989729529,107.594419419765 -6.86377625114915,107.594333589077 -6.86402390877181,107.594178020954 -6.86458579816905,107.594159245491 -6.86474025106247,107.593880295753 -6.86666824503101,107.59380787611 -6.86740855003156,107.593512833118 -6.87007949698542,107.593555748463 -6.87046029876907,107.593660354614 -6.87089968506359,107.593756914139 -6.87122190142153,107.593799829483 -6.87131776740322,107.593915164471 -6.87156542109983,107.594062685966 -6.87177845643455,107.594282627106 -6.87209800925765,107.594507932663 -6.87240158424063,107.594990730286 -6.87298077281514,107.595470845699 -6.87357593827032,107.595706880093 -6.87386619766266,107.595918774605 -6.87418308615465,107.596881687641 -6.8756929637146,107.597214281559 -6.8759273005425,107.597412765026 -6.87613767100546,107.597506642342 -6.87622022141486,107.597503960133 -6.87681138844358,107.597452998161 -6.87721082520872,107.597544193268 -6.87756499219288,107.59791970253 -6.87850499802072,107.598024308681 -6.87873667055939,107.598185241222 -6.87913876860537,107.598316669464 -6.87942902459916,107.598984539509 -6.88080574097903,107.599673867226 -6.88183361559608,107.600116431713 -6.88225435119638,107.600585818291 -6.88262449170095,107.601288557053 -6.88327955980021)"
Jalan Sukajadi,Provinsi,#0000ff,"LINESTRING (107.595862448215 -6.87410053539138,107.59601265192 -6.87486213221172,107.596127986908 -6.87591931178891,107.596294283867 -6.87776737320814,107.596318423748 -6.87802567516814,107.596315741539 -6.87830528022427,107.596323788166 -6.87924262168775,107.596372067928 -6.88012936631248,107.596471309662 -6.88250466207281,107.596538364887 -6.8840091874318,107.596541047096 -6.88420890282884,107.596597373486 -6.88492521469491,107.596406936646 -6.88571874851082,107.596406936646 -6.88591313746468,107.596436440945 -6.88604628053782,107.596696615219 -6.88674128677299,107.596771717072 -6.88791560533932,107.596873641014 -6.88908725815419,107.596983611584 -6.89144919491479,107.597120404243 -6.89379381159349,107.59721159935 -6.89497476971873,107.597257196903 -6.89613841667219,107.597273290157 -6.8962049867776,107.597324252129 -6.896777489298,107.597326934338 -6.89806095755018,107.5973752141 -6.89876393453774,107.597399353981 -6.89902488785086,107.597380578518 -6.9001938504171)"
Jalan Sukawangi,Provinsi,#0000ff,"LINESTRING (107.597820460796 -6.87826267375016,107.596323788166 -6.87830794312876)"
Jalan Cimalaya,Provinsi,#0000ff,"LINESTRING (107.616933882236 -6.90132286847007,107.616947293282 -6.90212702591298,107.616971433163 -6.90308562240426,107.617035806179 -6.90322408618141,107.617236971855 -6.90346639769394)"
Jalan Cilaki,Provinsi,#0000ff,"LINESTRING (107.619677782059 -6.90123765965435,107.619886994362 -6.90174092399996,107.620042562485 -6.90194862024059,107.620474398136 -6.90216164193117,107.620739936829 -6.90237732629522,107.62106180191 -6.90268088190032,107.621619701385 -6.90304834368811)"
Jalan Cisanggarung (Depan LAN),Provinsi,#0000ff,"LINESTRING (107.621067166328 -6.90269153297064,107.62068092823 -6.90306698304656,107.620367109776 -6.90335189886281,107.620149850845 -6.90340515413656)"
Jalan Cimandiri,Provinsi,#0000ff,"LINESTRING (107.617247700691 -6.90347172322029,107.617481052876 -6.90366344212913,107.617690265179 -6.90375930155443,107.618462741375 -6.90374066222326,107.619744837284 -6.9037033835587,107.6198387146 -6.90368208146335,107.619935274124 -6.90360752412208,107.620133757591 -6.90340515413656)"
